agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.8,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0.25,True,0.999732377,1,True,25,certificate,0.7709153656,"[""cmdb:claim:001"",""cmdb:claim:002"",""cmdb:claim:003"",""pki:claim:001"",""pki:claim:003"",""pki:claim:005"",""pki:claim:007"",""tls:claim:001"",""tls:claim:002"",""tls:claim:003"",""tls:claim:004"",""tls:claim:005"",""tls:claim:006""]",1,0.2,True,1,True,0.25,1,1,1,1,0.25,1,1,1,1,cigma_no_alias,True,4,[],node:certificate:c725a9625ac7d468,1,3,True,3,3,1,1,1,0.5047619048,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c"",""node:service:8c6e25e2569acde0"",""node:service:8db4be3ec36f66c3""]",1,True,0.905
0.9,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9968453258,1,True,25,device,0.79753107,"[""ot:claim:002""]",0.15,0.1,True,1,True,0,1,0.15,1,1,0,1,0.15,1,1,cigma_no_alias,True,4,[],node:device:31d0c7f542d6f69f,2,3,True,3,3,2,0.9523809524,1,0.2666666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:98c25cba817745a9""]",0.9523809524,True,0.7625
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.25,True,0.9964704386,0.98,True,15,certificate,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.25,0.98,0.2,1,1,0.25,0.98,0.2,1,1,cigma_no_alias,True,1.5,[],node:certificate:8051197fd57d6951,2,3,True,3,3,3,0.9047619048,1,0.3238095238,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.9047619048,True,0.756
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.25,True,0.9964704386,0.98,True,15,endpoint,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.25,0.98,0.2,1,1,0.25,0.98,0.2,1,1,cigma_no_alias,True,1.5,[],node:endpoint:4f10fd4c720b8aba,2,3,True,3,3,4,0.8571428571,1,0.4666666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8571428571,True,0.756
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.25,True,0.9964704386,0.98,True,15,service,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.25,0.98,0.2,1,1,0.25,0.98,0.2,1,1,cigma_no_alias,True,1.5,[],node:service:8db4be3ec36f66c3,2,3,True,3,3,5,0.8095238095,1,0.6571428571,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8095238095,True,0.756
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,certificate,0.792988707,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_alias,True,3,[],node:certificate:a8511db199394d31,2,3,True,3,3,6,0.7619047619,1,0.180952381,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.7619047619,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,endpoint,0.792988707,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_alias,True,3,[],node:endpoint:2287db8be4563d55,2,3,True,3,3,7,0.7142857143,1,0.2952380952,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.7142857143,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,pipeline,0.792988707,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_alias,True,3,[],node:pipeline:8cc5f4536d1de838,2,3,True,3,3,8,0.6666666667,1,0.380952381,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.6666666667,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,service,0.792988707,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_alias,True,3,[],node:service:723798595296953c,2,3,True,3,3,9,0.619047619,1,0.4952380952,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.619047619,True,0.8015
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,service,0.712448,"[""code:claim:003"",""code:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_no_alias,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:service:667d53147d83e66e,1,1,False,1,3,10,0.5714285714,1,0.6095238095,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:667d53147d83e66e""]",0.5714285714,True,0.32
