agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.8,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0.5,True,0.9998264704,1,True,25,certificate,0.7709153656,"[""cmdb:claim:001"",""cmdb:claim:002"",""cmdb:claim:003"",""pki:claim:001"",""pki:claim:003"",""pki:claim:005"",""pki:claim:007"",""tls:claim:001"",""tls:claim:002"",""tls:claim:003"",""tls:claim:004"",""tls:claim:005"",""tls:claim:006""]",1,0.2,True,1,True,0.5,1,1,1,1,0.5,1,1,1,1,cigma_without_code,True,4,[],node:certificate:c725a9625ac7d468,1,3,True,3,3,1,1,1,0.6285714286,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c"",""node:service:8c6e25e2569acde0"",""node:service:8db4be3ec36f66c3""]",1,True,0.93
0.9,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0,True,0.9988826648,1,True,25,device,0.7948378679,"[""cmdb:claim:003"",""ot:claim:002"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.1,True,1,True,0,1,0.55,1,1,0,1,0.55,1,1,cigma_without_code,True,4,[],node:device:31d0c7f542d6f69f,2,3,True,3,3,2,0.9285714286,1,0.4285714286,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.9285714286,True,0.8225
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.5,True,0.9977087663,0.98,True,15,certificate,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.5,0.98,0.2,1,1,0.5,0.98,0.2,1,1,cigma_without_code,True,1.5,[],node:certificate:8051197fd57d6951,2,3,True,3,3,3,0.8571428571,1,0.3428571429,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8571428571,True,0.781
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.5,True,0.9977087663,0.98,True,15,endpoint,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.5,0.98,0.2,1,1,0.5,0.98,0.2,1,1,cigma_without_code,True,1.5,[],node:endpoint:4f10fd4c720b8aba,2,3,True,3,3,4,0.7857142857,1,0.5571428571,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.7857142857,True,0.781
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.5,True,0.9977087663,0.98,True,15,service,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.5,0.98,0.2,1,1,0.5,0.98,0.2,1,1,cigma_without_code,True,1.5,[],node:service:8db4be3ec36f66c3,2,3,True,3,3,5,0.7142857143,1,0.8,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.7142857143,True,0.781
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,certificate,0.7948378679,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_code,True,3,[],node:certificate:a8511db199394d31,3,3,True,3,3,6,0.6428571429,1,0.2285714286,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.6428571429,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,endpoint,0.7948378679,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_code,True,3,[],node:endpoint:2287db8be4563d55,3,3,True,3,3,7,0.5714285714,1,0.4142857143,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.5714285714,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,pipeline,0.7948378679,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_code,True,3,[],node:pipeline:8cc5f4536d1de838,3,3,True,3,3,8,0.5,1,0.5428571429,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.5,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,service,0.7948378679,"[""cmdb:claim:003"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_code,True,3,[],node:service:723798595296953c,3,3,True,3,3,9,0.4285714286,1,0.6428571429,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.4285714286,True,0.8015
0.3,[],0.25,False,0.220259167,0.95,True,12,pipeline,0.455,[],0.75,0.7,True,0,False,0.25,0.95,0.75,0,0,0.25,0.95,0.75,1,1,cigma_without_code,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:pipeline:606d66fb35f30c70,1,0,False,0,3,10,0.3571428571,0,0.5428571429,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:16b7d5be0d3b6cf6""]",0.3571428571,True,0.3575
