agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.9,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0,True,0.9968453258,1,True,25,device,0.7588977417,"[""code:claim:005"",""code:claim:006"",""ot:claim:002""]",0.15,0.1,True,1,True,0,1,0.15,1,1,0,1,0.15,1,1,cigma_without_cmdb,True,4,[],node:device:31d0c7f542d6f69f,1,3,True,3,3,1,1,1,0.2666666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",1,True,0.7625
0.8,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9957322125,1,True,25,certificate,0.9553390623,"[""pki:claim:001""]",0.1,0.2,True,1,True,0,1,0.1,1,1,0,1,0.1,1,1,cigma_without_cmdb,True,4,[],node:certificate:c725a9625ac7d468,2,3,True,3,3,2,0.9333333333,1,0.2,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.9333333333,False,0.745
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.665033385,0,False,0,endpoint,0.98,"[""pki:claim:003"",""tls:claim:002""]",1,0.5,False,0.1,False,0,0,1,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:1b9b59ba08a7d6e6,1,2,False,2,3,3,0.8666666667,1,0.4,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8666666667,True,0.47
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.3812675761,0,False,0,endpoint,0.98,"[""pki:claim:007"",""tls:claim:006""]",0.55,0.5,False,0.1,False,0,0,0.55,0,1,0,1,0.55,1,1,cigma_without_cmdb,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:2287db8be4563d55,2,2,False,2,3,4,0.8,1,0.4,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8,True,0.4025
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,certificate,0.9993852648,"[""pki:claim:003"",""tls:claim:002""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:66cfe6c4a40828c8,1,1,False,1,3,5,0.7333333333,1,0.0933333333,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.7333333333,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,certificate,0.9993852712,"[""pki:claim:005"",""tls:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:8051197fd57d6951,1,1,False,1,3,6,0.6666666667,1,0.16,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.6666666667,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,certificate,0.9993852712,"[""pki:claim:007"",""tls:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:a8511db199394d31,1,1,False,1,3,7,0.6,1,0.2266666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.6,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,pipeline,0.7588977417,"[""code:claim:005"",""code:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:pipeline:8cc5f4536d1de838,1,1,False,1,3,8,0.5333333333,1,0.6266666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.5333333333,True,0.32
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,service,0.712448,"[""code:claim:003"",""code:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:service:667d53147d83e66e,1,1,False,1,3,9,0.4666666667,1,0.7466666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:667d53147d83e66e""]",0.4666666667,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,service,0.7588977417,"[""code:claim:005"",""code:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_cmdb,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:service:723798595296953c,1,1,False,1,3,10,0.4,1,0.8133333333,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.4,True,0.32
