case_id,policy_score,urgent
panel-001,0.08,0
panel-002,0.12,0
panel-003,0.16,0
panel-004,0.19,0
panel-005,0.22,0
panel-006,0.25,0
panel-007,0.28,0
panel-008,0.30,0
panel-009,0.32,0
panel-010,0.34,0
panel-011,0.35,1
panel-012,0.37,0
panel-013,0.39,0
panel-014,0.40,1
panel-015,0.42,0
panel-016,0.43,1
panel-017,0.45,1
panel-018,0.47,0
panel-019,0.49,1
panel-020,0.51,1
panel-021,0.53,0
panel-022,0.55,1
panel-023,0.57,1
panel-024,0.60,1
panel-025,0.63,1
panel-026,0.66,1
panel-027,0.70,1
panel-028,0.74,1
panel-029,0.80,1
panel-030,0.88,1
