agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,software_component,0.7744,"[""code:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:4cc6e3ee598caae1,1,1,False,1,3,1,1,1,0.5333333333,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:a5526098efde88e1""]",1,True,0.32
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,software_component,0.7744,"[""code:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:dd3efe50a55361e6,1,1,False,1,3,2,0.8333333333,1,0.7,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:667d53147d83e66e""]",0.8333333333,True,0.32
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,software_component,0.0892078161,"[""code:claim:007""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:e62a7f1e7ca034de,1,1,False,1,3,3,0.6666666667,1,0.8666666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.6666666667,True,0.32
0.5,[],0,False,0.0013666082,0,False,0,service,0.44,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:03056307f6a67008,1,0,False,0,3,4,0.5,0,0.0333333333,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:03056307f6a67008""]",0.5,True,0.05
0.5,[],0,False,0.0013666082,0,False,0,service,0.44,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:667d53147d83e66e,1,0,False,0,3,5,0.3333333333,0,0.2,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:667d53147d83e66e""]",0.3333333333,True,0.05
0.5,[],0,False,0.0013666082,0,False,0,service,0.44,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:a5526098efde88e1,1,0,False,0,3,6,0.1666666667,0,0.3666666667,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:a5526098efde88e1""]",0.1666666667,True,0.05
0.5,"[""node:algorithm:3fc03a4616e11480""]",0,False,0.0027536539,0,False,0,software_component,0.7744,"[""code:claim:002""]",0,0.5,False,0.015,False,0,0,0,0,0.15,0,1,1,1,0.15,cbom_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:fac1bf8aa9cc4366,1,0,True,0,0,7,0,0.15,0.8,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:03056307f6a67008""]",0,False,0.0905
0.8,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0.5,True,0.9998264704,1,True,25,certificate,0.7709153656,"[""cmdb:claim:001"",""cmdb:claim:002"",""cmdb:claim:003"",""code:claim:005"",""code:claim:006"",""pki:claim:001"",""pki:claim:003"",""pki:claim:005"",""pki:claim:007"",""tls:claim:001"",""tls:claim:002"",""tls:claim:003"",""tls:claim:004"",""tls:claim:005"",""tls:claim:006""]",1,0.2,True,1,True,0.5,1,1,1,1,0.5,1,1,1,1,cigma,True,4,[],node:certificate:c725a9625ac7d468,1,3,True,3,3,1,1,1,0.7058823529,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c"",""node:service:8c6e25e2569acde0"",""node:service:8db4be3ec36f66c3""]",1,True,0.93
0.9,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0,True,0.9988826648,1,True,25,device,0.7951024188,"[""cmdb:claim:003"",""code:claim:005"",""code:claim:006"",""ot:claim:002"",""pki:claim:007"",""tls:claim:005"",""tls:claim:006""]",0.55,0.1,True,1,True,0,1,0.55,1,1,0,1,0.55,1,1,cigma,True,4,[],node:device:31d0c7f542d6f69f,2,3,True,3,3,2,0.9411764706,1,0.4823529412,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.9411764706,True,0.8225
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.5,True,0.9977087663,0.98,True,15,certificate,0.7709153656,"[""cmdb:claim:002"",""pki:claim:005"",""tls:claim:003"",""tls:claim:004""]",0.2,0.45,True,1,True,0.5,0.98,0.2,1,1,0.5,0.98,0.2,1,1,cigma,True,1.5,[],node:certificate:8051197fd57d6951,2,3,True,3,3,3,0.8823529412,1,0.4352941176,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8823529412,True,0.781
