agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.8,"[""node:algorithm:7e0951d97b24e134""]",0.5,True,0.9998264704,1,True,25,certificate,0.9553390623,"[""pki:claim:001""]",1,0.2,True,1,True,0.5,1,1,1,1,0.5,1,1,1,1,cigma_no_paths,True,4,[],node:certificate:c725a9625ac7d468,1,3,True,3,3,1,1,1,0.6352941176,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c"",""node:service:8c6e25e2569acde0"",""node:service:8db4be3ec36f66c3""]",1,False,0.93
0.9,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9988826648,1,True,25,device,0.79753107,"[""ot:claim:002""]",0.55,0.1,True,1,True,0,1,0.55,1,1,0,1,0.55,1,1,cigma_no_paths,True,4,[],node:device:31d0c7f542d6f69f,2,3,True,3,3,2,0.9411764706,1,0.4117647059,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.9411764706,True,0.8225
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.5,True,0.9977087663,0.98,True,15,certificate,0.9993852712,"[""pki:claim:005"",""tls:claim:004""]",0.2,0.45,True,1,True,0.5,0.98,0.2,1,1,0.5,0.98,0.2,1,1,cigma_no_paths,True,1.5,[],node:certificate:8051197fd57d6951,2,3,True,3,3,3,0.8823529412,1,0.3647058824,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8823529412,False,0.781
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.5,True,0.9977087663,0.98,True,15,endpoint,0.9988,"[""pki:claim:005"",""tls:claim:004""]",0.2,0.45,True,1,True,0.5,0.98,0.2,1,1,0.5,0.98,0.2,1,1,cigma_no_paths,True,1.5,[],node:endpoint:4f10fd4c720b8aba,2,3,True,3,3,4,0.8235294118,1,0.5411764706,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8235294118,False,0.781
0.35,"[""node:algorithm:7e0951d97b24e134""]",0.5,True,0.9982015555,0.9,True,8,software_component,0.8255130489,"[""code:claim:004""]",0.6,0.65,True,0.95,True,0.5,0.9,0.6,0.95,1,0.5,0.9,0.6,0.95,1,cigma_no_paths,True,1.5,[],node:software_component:dd3efe50a55361e6,2,3,True,3,3,5,0.7647058824,1,0.6,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:7b41be04e9f2aa9c""]",0.7647058824,True,0.795
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,certificate,0.9993852712,"[""pki:claim:007"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_paths,True,3,[],node:certificate:a8511db199394d31,3,3,True,3,3,6,0.7058823529,1,0.2352941176,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.7058823529,False,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,endpoint,0.9988,"[""pki:claim:007"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_paths,True,3,[],node:endpoint:2287db8be4563d55,3,3,True,3,3,7,0.6470588235,1,0.3882352941,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.6470588235,False,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,software_component,0.8255131559,"[""code:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_no_paths,True,3,[],node:software_component:4cc6e3ee598caae1,3,3,True,3,3,8,0.5882352941,1,0.7176470588,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.5882352941,True,0.8015
0.55,[],0.5,False,0.1514232868,0.98,True,15,service,0.47,[],0.2,0.45,True,0,False,0.5,0.98,0.2,0,0,0.5,0.98,0.2,1,1,cigma_no_paths,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:service:8db4be3ec36f66c3,1,0,False,0,3,9,0.5294117647,0,0.7529411765,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.5294117647,True,0.331
0.75,[],0,False,0.2029181387,0.97,True,20,pipeline,0.455,[],0.55,0.25,True,0,False,0,0.97,0.55,0,0,0,0.97,0.55,1,1,cigma_no_paths,True,3,"[""hndl_urgency"",""quantum_vulnerability""]",node:pipeline:8cc5f4536d1de838,1,0,False,0,3,10,0.4705882353,0,0.4941176471,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.4705882353,True,0.3515
