agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.9,"[""node:algorithm:6370ff0b38a7f964""]",0,True,0.9968453258,1,True,25,device,0.7396,"[""ot:claim:002""]",0.15,0.1,True,1,True,0,1,0.15,1,1,0,1,0.15,1,1,source_union,True,4,[],node:device:ec86ce20991327ba,1,3,True,3,3,1,1,1,0.2709677419,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:669092adb4e15a82""]",1,True,0.7625
0.8,"[""node:algorithm:3c568fd382de467d""]",0,True,0.9957322125,1,True,25,certificate,0.9409,"[""pki:claim:001""]",0.1,0.2,True,1,True,0,1,0.1,1,1,0,1,0.1,1,1,source_union,True,4,[],node:certificate:7a26201c12bf6819,2,3,True,3,3,2,0.9677419355,1,0.1612903226,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.9677419355,False,0.745
0.5,"[""node:algorithm:448ffb9085d88ae3""]",0,False,0.665033385,0,False,0,endpoint,0.9604,"[""tls:claim:002""]",1,0.5,False,0.1,False,0,0,1,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:f081d3c60d75fc7c,1,2,False,2,3,3,0.935483871,1,0.4838709677,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.935483871,True,0.47
0.5,"[""node:algorithm:9824b76680dd9681""]",0,False,0.3812675761,0,False,0,endpoint,0.9604,"[""tls:claim:006""]",0.55,0.5,False,0.1,False,0,0,0.55,0,1,0,1,0.55,1,1,source_union,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:9215f88ab9845195,2,2,False,2,3,4,0.9032258065,1,0.3612903226,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.9032258065,True,0.4025
0.5,"[""node:algorithm:fe29bac2aee4103a""]",0,False,0.1285159648,0,False,0,certificate,0.9409,"[""pki:claim:007""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:191120ef5bec1f8b,1,1,False,1,3,5,0.8709677419,1,0.1225806452,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8709677419,True,0.32
0.5,"[""node:algorithm:9824b76680dd9681""]",0,False,0.1285159648,0,False,0,certificate,0.9604,"[""tls:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:2513446f6c004a88,1,1,False,1,3,6,0.8387096774,1,0.1548387097,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8387096774,True,0.32
0.5,"[""node:algorithm:448ffb9085d88ae3""]",0,False,0.1285159648,0,False,0,certificate,0.9604,"[""tls:claim:002""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:28573201d7e008fe,1,1,False,1,3,7,0.8064516129,1,0.1870967742,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8064516129,True,0.32
0.5,"[""node:algorithm:3c568fd382de467d""]",0,False,0.1285159648,0,False,0,certificate,0.123738126,"[""pki:claim:008""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:6ddbaf9f3e65cd3b,1,1,False,1,3,8,0.7741935484,1,0.2193548387,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.7741935484,True,0.32
0.5,"[""node:algorithm:c820c1403b099412""]",0,False,0.1285159648,0,False,0,certificate,0.9604,"[""tls:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:82792714a780188f,1,1,False,1,3,9,0.7419354839,1,0.2774193548,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.7419354839,True,0.32
0.5,"[""node:algorithm:b650c2eff6de8d86""]",0,False,0.1285159648,0,False,0,certificate,0.9409,"[""pki:claim:003""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,source_union,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:e31efc346454f695,1,1,False,1,3,10,0.7096774194,1,0.3096774194,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.7096774194,True,0.32
