agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.8,"[""node:algorithm:7e0951d97b24e134""]",0.25,True,0.999732377,1,True,25,certificate,0.9553390623,"[""pki:claim:001""]",1,0.2,True,1,True,0.25,1,1,1,1,0.25,1,1,1,1,exact_direct,True,4,[],node:certificate:c725a9625ac7d468,1,3,True,3,3,1,1,1,0.4956521739,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c"",""node:service:8c6e25e2569acde0"",""node:service:8db4be3ec36f66c3""]",1,False,0.905
0.9,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9968453258,1,True,25,device,0.79753107,"[""ot:claim:002""]",0.15,0.1,True,1,True,0,1,0.15,1,1,0,1,0.15,1,1,exact_direct,True,4,[],node:device:31d0c7f542d6f69f,2,3,True,3,3,2,0.9565217391,1,0.2608695652,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:98c25cba817745a9""]",0.9565217391,True,0.7625
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.25,True,0.9964704386,0.98,True,15,certificate,0.9993852712,"[""pki:claim:005"",""tls:claim:004""]",0.2,0.45,True,1,True,0.25,0.98,0.2,1,1,0.25,0.98,0.2,1,1,exact_direct,True,1.5,[],node:certificate:8051197fd57d6951,2,3,True,3,3,3,0.9130434783,1,0.2956521739,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.9130434783,False,0.756
0.55,"[""node:algorithm:2bfb0ede2655bcc5""]",0.25,True,0.9964704386,0.98,True,15,endpoint,0.9988,"[""pki:claim:005"",""tls:claim:004""]",0.2,0.45,True,1,True,0.25,0.98,0.2,1,1,0.25,0.98,0.2,1,1,exact_direct,True,1.5,[],node:endpoint:4f10fd4c720b8aba,2,3,True,3,3,4,0.8695652174,1,0.4434782609,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.8695652174,False,0.756
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,certificate,0.9993852712,"[""pki:claim:007"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,exact_direct,True,3,[],node:certificate:a8511db199394d31,2,3,True,3,3,5,0.8260869565,1,0.1739130435,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.8260869565,False,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,endpoint,0.9988,"[""pki:claim:007"",""tls:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,exact_direct,True,3,[],node:endpoint:2287db8be4563d55,2,3,True,3,3,6,0.7826086957,1,0.2782608696,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.7826086957,False,0.8015
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,certificate,0.1256370127,"[""pki:claim:008""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:a5e8a91dada43f20,1,1,False,1,3,7,0.7391304348,1,0.2782608696,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.7391304348,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,software_component,0.8255131559,"[""code:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:4cc6e3ee598caae1,1,1,False,1,3,8,0.6956521739,1,0.8173913043,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:a5526098efde88e1""]",0.6956521739,True,0.32
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,software_component,0.8255130489,"[""code:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:dd3efe50a55361e6,1,1,False,1,3,9,0.652173913,1,0.8608695652,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:667d53147d83e66e""]",0.652173913,True,0.32
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,software_component,0.0950958371,"[""code:claim:007""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:e62a7f1e7ca034de,1,1,False,1,3,10,0.6086956522,1,0.9043478261,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.6086956522,True,0.32
0.5,[],0,False,0.0013666082,0,False,0,service,0.44,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:03056307f6a67008,1,0,False,0,3,11,0.5652173913,0,0.5304347826,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:03056307f6a67008""]",0.5652173913,True,0.05
0.5,[],0,False,0.0013666082,0,False,0,service,0.44,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:667d53147d83e66e,1,0,False,0,3,12,0.5217391304,0,0.5913043478,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:667d53147d83e66e""]",0.5217391304,True,0.05
0.5,[],0,False,0.0013666082,0,False,0,service,0.43,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:98c25cba817745a9,1,0,False,0,3,13,0.4782608696,0,0.7304347826,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:98c25cba817745a9""]",0.4782608696,True,0.05
0.5,[],0,False,0.0013666082,0,False,0,service,0.44,[],0,0.5,False,0,False,0,0,0,0,0,0,1,1,1,1,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency"",""quantum_vulnerability""]",node:service:a5526098efde88e1,1,0,False,0,3,14,0.4347826087,0,0.7739130435,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:a5526098efde88e1""]",0.4347826087,True,0.05
0.55,[],0.25,False,0.1036968938,0.98,True,15,service,0.47,[],0.2,0.45,True,0,False,0.25,0.98,0.2,0,0,0.25,0.98,0.2,1,1,exact_direct,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:service:8db4be3ec36f66c3,1,0,False,0,3,15,0.3913043478,0,0.6347826087,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8db4be3ec36f66c3""]",0.3913043478,True,0.306
0.3,[],0.125,False,0.1853037039,0.95,True,12,pipeline,0.455,[],0.75,0.7,True,0,False,0.125,0.95,0.75,0,0,0.125,0.95,0.75,1,1,exact_direct,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:pipeline:606d66fb35f30c70,1,0,False,0,3,16,0.347826087,0,0.4260869565,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:16b7d5be0d3b6cf6""]",0.347826087,True,0.345
0.3,[],0.125,False,0.1853037039,0.95,True,12,service,0.4973,[],0.75,0.7,True,0,False,0.125,0.95,0.75,0,0,0.125,0.95,0.75,1,1,exact_direct,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:service:16b7d5be0d3b6cf6,1,0,False,0,3,17,0.3043478261,0,0.5043478261,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:16b7d5be0d3b6cf6""]",0.3043478261,True,0.345
0.35,[],0.25,False,0.1492095255,0.9,True,8,service,0.47,[],0.6,0.65,True,0,False,0.25,0.9,0.6,0,0,0.25,0.9,0.6,1,1,exact_direct,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:service:7b41be04e9f2aa9c,1,0,False,0,3,18,0.2608695652,0,0.5565217391,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:7b41be04e9f2aa9c""]",0.2608695652,True,0.33
0.75,[],0,False,0.2029181387,0.97,True,20,pipeline,0.455,[],0.55,0.25,True,0,False,0,0.97,0.55,0,0,0,0.97,0.55,1,1,exact_direct,True,3,"[""hndl_urgency"",""quantum_vulnerability""]",node:pipeline:8cc5f4536d1de838,2,0,False,0,3,19,0.2173913043,0,0.3565217391,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.2173913043,True,0.3515
0.75,[],0,False,0.2029181387,0.97,True,20,service,0.4973,[],0.55,0.25,True,0,False,0,0.97,0.55,0,0,0,0.97,0.55,1,1,exact_direct,True,3,"[""hndl_urgency"",""quantum_vulnerability""]",node:service:723798595296953c,2,0,False,0,3,20,0.1739130435,0,0.4695652174,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.1739130435,True,0.3515
0.25,[],0,False,0.1605489438,0.8,True,2,service,0.47,[],1,0.75,True,0,False,0,0.8,1,0,0,0,0.8,1,1,1,exact_direct,True,1.5,"[""hndl_urgency"",""quantum_vulnerability""]",node:service:8c6e25e2569acde0,2,0,False,0,3,21,0.1304347826,0,0.5391304348,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8c6e25e2569acde0""]",0.1304347826,True,0.335
0.25,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9800116007,0.8,True,2,certificate,0.9993852648,"[""pki:claim:003"",""tls:claim:002""]",1,0.75,True,0.35,True,0,0.8,1,0.35,1,0,0.8,1,0.35,1,exact_direct,True,1.5,[],node:certificate:66cfe6c4a40828c8,1,2,True,2,2,22,0.0869565217,1,0.1043478261,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8c6e25e2569acde0""]",0.0869565217,False,0.655
0.25,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9800116007,0.8,True,2,endpoint,0.9988,"[""pki:claim:003"",""tls:claim:002""]",1,0.75,True,0.35,True,0,0.8,1,0.35,1,0,0.8,1,0.35,1,exact_direct,True,1.5,[],node:endpoint:1b9b59ba08a7d6e6,1,2,True,2,2,23,0.0434782609,1,0.2347826087,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:8c6e25e2569acde0""]",0.0434782609,False,0.655
0.5,"[""node:algorithm:3fc03a4616e11480""]",0,False,0.0027536539,0,False,0,software_component,0.7744,"[""code:claim:002""]",0,0.5,False,0.015,False,0,0,0,0,0.15,0,1,1,1,0.15,exact_direct,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:software_component:fac1bf8aa9cc4366,1,0,True,0,0,24,0,0.15,0.7391304348,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:03056307f6a67008""]",0,False,0.0905
