agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.9,"[""node:algorithm:2bfb0ede2655bcc5"",""node:algorithm:7e0951d97b24e134""]",0,True,0.9988826648,1,True,25,device,0.7594311072,"[""code:claim:005"",""code:claim:006"",""ot:claim:002""]",0.55,0.1,True,1,True,0,1,0.55,1,1,0,1,0.55,1,1,cigma_without_tls,True,4,[],node:device:31d0c7f542d6f69f,1,3,True,3,3,1,1,1,0.4705882353,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",1,True,0.8225
0.35,"[""node:algorithm:7e0951d97b24e134""]",0.5,True,0.9982015555,0.9,True,8,service,0.756733081,"[""code:claim:003"",""code:claim:004""]",0.6,0.65,True,0.95,True,0.5,0.9,0.6,0.95,1,0.5,0.9,0.6,0.95,1,cigma_without_tls,True,1.5,[],node:service:7b41be04e9f2aa9c,1,3,True,3,3,2,0.9411764706,1,0.4823529412,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:7b41be04e9f2aa9c""]",0.9411764706,True,0.795
0.35,"[""node:algorithm:7e0951d97b24e134""]",0.5,True,0.9982015555,0.9,True,8,software_component,0.756733081,"[""code:claim:003"",""code:claim:004""]",0.6,0.65,True,0.95,True,0.5,0.9,0.6,0.95,1,0.5,0.9,0.6,0.95,1,cigma_without_tls,True,1.5,[],node:software_component:dd3efe50a55361e6,1,3,True,3,3,3,0.8823529412,1,0.5882352941,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:7b41be04e9f2aa9c""]",0.8823529412,True,0.795
0.8,"[""node:algorithm:7e0951d97b24e134""]",0,True,0.9957322125,1,True,25,certificate,0.9553319844,"[""pki:claim:001""]",0.1,0.2,True,1,True,0,1,0.1,1,1,0,1,0.1,1,1,cigma_without_tls,True,4,[],node:certificate:c725a9625ac7d468,2,3,True,3,3,4,0.8235294118,1,0.3882352941,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8235294118,False,0.745
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,endpoint,0.7594311072,"[""code:claim:005"",""code:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_tls,True,3,[],node:endpoint:2287db8be4563d55,2,3,True,3,3,5,0.7647058824,1,0.4352941176,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.7647058824,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,pipeline,0.7594311072,"[""code:claim:005"",""code:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_tls,True,3,[],node:pipeline:8cc5f4536d1de838,2,3,True,3,3,6,0.7058823529,1,0.5176470588,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.7058823529,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,service,0.7594311072,"[""code:claim:005"",""code:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_tls,True,3,[],node:service:723798595296953c,2,3,True,3,3,7,0.6470588235,1,0.5764705882,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.6470588235,True,0.8015
0.75,"[""node:algorithm:2bfb0ede2655bcc5""]",0,True,0.9983928712,0.97,True,20,software_component,0.7594311072,"[""code:claim:005"",""code:claim:006""]",0.55,0.25,True,1,True,0,0.97,0.55,1,1,0,0.97,0.55,1,1,cigma_without_tls,True,3,[],node:software_component:4cc6e3ee598caae1,2,3,True,3,3,8,0.5882352941,1,0.7058823529,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,"[""node:service:723798595296953c""]",0.5882352941,True,0.8015
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,certificate,0.9553319844,"[""pki:claim:003""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_tls,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:66cfe6c4a40828c8,1,1,False,1,3,9,0.5294117647,1,0.4,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.5294117647,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,certificate,0.9552876171,"[""pki:claim:005""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,cigma_without_tls,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:8051197fd57d6951,1,1,False,1,3,10,0.4705882353,1,0.4588235294,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.4705882353,True,0.32
